date,UT_cases_onset,UT_cases_total,UT_deaths_daily,UT_deaths_total
2020-02-28,1,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,1,2,0,0
2020-03-05,1,3,0,0
2020-03-06,4,7,0,0
2020-03-07,2,9,0,0
2020-03-08,1,10,0,0
2020-03-09,0,10,0,0
2020-03-10,1,11,0,0
2020-03-11,3,14,0,0
2020-03-12,5,19,0,0
2020-03-13,6,25,0,0
2020-03-14,13,38,0,0
2020-03-15,11,49,0,0
2020-03-16,8,57,0,0
2020-03-17,25,82,0,0
2020-03-18,13,95,0,0
2020-03-19,35,130,0,0
2020-03-20,32,162,0,0
2020-03-21,40,202,0,0
2020-03-22,85,287,1,1
2020-03-23,33,320,0,1
2020-03-24,43,363,0,1
2020-03-25,54,417,0,1
2020-03-26,63,480,1,2
